xp_7d,empty_sessions,easy_tasks,days_since_last,streak_days,tasks_completed,session_count,goal_completion_pct,m_t,v_t,c_t,d_t,m_t_noisy,v_t_noisy,c_t_noisy,d_t_noisy,gdi_score,gdi_state,archetype,label
323.12,3,5,0.51,2,12,6,0.256,0.6462,0.3,0.5,0.0728,0.6406,0.3821,0.5314,0.087,0.0766,WAVERING,moderate_engagement,1
227.87,2,1,3.79,0,8,9,0.616,0.4557,0.2,0.1,0.5419,0.4085,0.2102,0.0691,0.4224,-0.0403,WAVERING,high_engagement,1
87.52,6,9,14.0,1,2,1,0.252,0.175,0.6,0.9,1.0,0.217,0.4975,0.7276,0.9426,-0.53,SILENT_RECESS,low_engagement,2
367.85,1,1,2.24,0,15,6,0.706,0.7357,0.1,0.1,0.3199,0.7083,0.0616,0.2043,0.3385,0.1583,ENGAGED,high_engagement,0
262.95,3,9,4.35,4,10,10,0.466,0.5259,0.3,0.9,0.6207,0.6254,0.2669,0.8667,0.5612,-0.2159,SILENT_RECESS,moderate_engagement,2
241.59,3,4,3.86,0,8,5,0.225,0.4832,0.3,0.4,0.5513,0.5189,0.2362,0.3274,0.5277,-0.1121,WAVERING,moderate_engagement,1
257.79,4,4,2.95,3,8,4,0.383,0.5156,0.4,0.4,0.421,0.5224,0.3346,0.3533,0.547,-0.0801,WAVERING,moderate_engagement,1
124.82,6,9,5.59,0,3,4,0.224,0.2496,0.6,0.9,0.7979,0.3071,0.622,0.8932,0.9376,-0.4395,SILENT_RECESS,low_engagement,2
94.67,5,10,2.0,3,4,5,0.355,0.1893,0.5,1.0,0.2854,0.2567,0.409,1.0,0.2669,-0.3099,SILENT_RECESS,low_engagement,2
290.95,2,10,12.77,2,12,5,0.238,0.5819,0.2,1.0,1.0,0.595,0.2246,1.0,0.9938,-0.3072,SILENT_RECESS,moderate_engagement,2
11.42,4,8,6.96,2,0,2,0.18,0.0228,0.4,0.8,0.994,0.0,0.3903,0.6864,0.9076,-0.5291,SILENT_RECESS,low_engagement,2
313.8,3,3,0.23,0,13,6,0.075,0.6276,0.3,0.3,0.0331,0.6225,0.3795,0.2246,0.0663,0.1211,ENGAGED,moderate_engagement,0
282.93,1,1,0.31,3,9,4,0.391,0.5659,0.1,0.1,0.0437,0.4921,0.1588,0.0249,0.0184,0.1732,ENGAGED,high_engagement,0
379.33,4,7,1.1,1,15,5,0.392,0.7587,0.4,0.7,0.1573,0.7791,0.3997,0.7085,0.2046,0.0363,WAVERING,moderate_engagement,1
454.9,2,1,0.11,14,19,2,0.858,0.9098,0.2,0.1,0.0154,1.0,0.1508,0.2236,0.0583,0.2993,ENGAGED,high_engagement,0
481.28,2,1,0.01,2,17,8,0.957,0.9626,0.2,0.1,0.0008,0.9734,0.3753,0.0964,0.0055,0.3248,ENGAGED,high_engagement,0
186.84,3,7,0.14,1,6,2,0.097,0.3737,0.3,0.7,0.0193,0.3444,0.3424,0.6952,0.0122,-0.0563,WAVERING,low_engagement,1
268.32,4,6,14.0,5,9,1,0.011,0.5366,0.4,0.6,1.0,0.4853,0.3429,0.5684,0.9689,-0.2853,SILENT_RECESS,low_engagement,2
173.88,4,5,1.27,0,7,8,0.232,0.3478,0.4,0.5,0.1811,0.4236,0.4358,0.6243,0.2218,-0.0952,WAVERING,moderate_engagement,1
296.18,1,2,2.13,0,11,3,0.744,0.5924,0.1,0.2,0.3044,0.6113,0.1324,0.2044,0.1651,0.0856,WAVERING,high_engagement,1
402.02,2,2,0.24,1,15,6,0.63,0.804,0.2,0.2,0.0336,0.8374,0.1114,0.121,0.1496,0.2315,ENGAGED,high_engagement,0
426.89,2,2,3.12,3,17,5,0.566,0.8538,0.2,0.2,0.4453,0.7947,0.3211,0.263,0.3668,0.1279,ENGAGED,high_engagement,0
68.53,9,6,11.03,2,2,1,0.143,0.1371,0.9,0.6,1.0,0.2396,0.9222,0.5216,1.0,-0.5452,SILENT_RECESS,low_engagement,2
390.95,1,4,0.0,3,14,5,0.81,0.7819,0.1,0.4,0.0007,0.8596,0.1957,0.4376,0.0223,0.2125,ENGAGED,high_engagement,0
394.2,2,3,0.06,1,15,4,0.813,0.7884,0.2,0.3,0.0087,0.8677,0.1686,0.4371,0.0076,0.2128,ENGAGED,high_engagement,0
104.52,3,7,14.0,2,2,1,0.139,0.209,0.3,0.7,1.0,0.3114,0.3198,0.7158,1.0,-0.4164,SILENT_RECESS,low_engagement,2
282.54,0,1,0.15,6,11,8,0.765,0.5651,0.0,0.1,0.0216,0.6388,0.0117,0.1807,0.0585,0.1995,ENGAGED,high_engagement,0
142.2,7,7,4.49,1,4,2,0.539,0.2844,0.7,0.7,0.6416,0.2633,0.9041,0.5891,0.619,-0.3587,SILENT_RECESS,low_engagement,2
361.55,2,1,0.53,7,14,10,0.199,0.7231,0.2,0.1,0.0763,0.6169,0.1346,0.0,0.0,0.2063,ENGAGED,high_engagement,0
153.14,9,6,11.83,1,6,1,0.035,0.3063,0.9,0.6,1.0,0.3975,0.845,0.5268,1.0,-0.4775,SILENT_RECESS,low_engagement,2
199.75,6,7,9.73,0,10,4,0.393,0.3995,0.6,0.7,1.0,0.329,0.5935,0.702,0.9674,-0.4002,SILENT_RECESS,low_engagement,2
431.25,4,3,0.32,1,16,6,0.932,0.8625,0.4,0.3,0.0457,0.8231,0.4829,0.3188,0.0255,0.1913,ENGAGED,high_engagement,0
185.25,3,4,0.19,4,7,7,0.285,0.3705,0.3,0.4,0.0278,0.5253,0.2517,0.3644,0.0153,-0.0001,WAVERING,moderate_engagement,1
392.04,5,5,3.04,2,15,2,0.486,0.7841,0.5,0.5,0.4339,0.6631,0.4865,0.4821,0.368,-0.0165,WAVERING,moderate_engagement,1
337.97,3,3,0.45,0,12,5,0.551,0.6759,0.3,0.3,0.0641,0.7415,0.3397,0.3825,0.0,0.1311,ENGAGED,moderate_engagement,0
292.32,3,4,2.16,0,11,6,0.072,0.5846,0.3,0.4,0.3093,0.4789,0.3112,0.5375,0.2278,0.0011,WAVERING,moderate_engagement,1
275.63,0,0,0.73,1,10,5,0.663,0.5513,0.0,0.0,0.1039,0.6309,0.0,0.0,0.1232,0.1893,ENGAGED,high_engagement,0
142.28,10,5,3.86,3,5,1,0.305,0.2846,1.0,0.5,0.5521,0.3194,1.0,0.5699,0.6378,-0.3518,SILENT_RECESS,low_engagement,2
326.55,0,2,0.76,4,13,3,0.668,0.6531,0.0,0.2,0.1081,0.637,0.0534,0.2799,0.0608,0.1888,ENGAGED,high_engagement,0
439.26,2,2,0.58,1,18,5,0.56,0.8785,0.2,0.2,0.0828,0.8799,0.204,0.055,0.0487,0.2466,ENGAGED,high_engagement,0
384.71,0,1,0.13,2,14,9,0.663,0.7694,0.0,0.1,0.0192,0.7065,0.0,0.0591,0.0,0.282,ENGAGED,high_engagement,0
158.12,5,4,14.0,0,6,7,0.18,0.3162,0.5,0.4,1.0,0.3314,0.5819,0.483,1.0,-0.3535,SILENT_RECESS,moderate_engagement,2
212.3,1,3,1.42,2,9,8,0.667,0.4246,0.1,0.3,0.2031,0.5478,0.1548,0.3476,0.2384,0.0289,WAVERING,high_engagement,1
47.37,10,7,5.55,1,3,1,0.069,0.0947,1.0,0.7,0.7924,0.1929,1.0,0.6695,0.8578,-0.5398,SILENT_RECESS,low_engagement,2
174.07,4,12,6.6,2,5,1,0.013,0.3481,0.4,1.0,0.9428,0.4337,0.4056,1.0,0.8944,-0.4236,SILENT_RECESS,low_engagement,2
24.42,6,11,5.98,0,1,4,0.177,0.0488,0.6,1.0,0.8549,0.0,0.6634,0.9323,0.9541,-0.5569,SILENT_RECESS,low_engagement,2
200.58,6,9,6.45,0,6,1,0.015,0.4012,0.6,0.9,0.9208,0.4545,0.7137,0.8823,0.7788,-0.4158,SILENT_RECESS,low_engagement,2
336.57,3,2,1.68,2,15,3,0.355,0.6731,0.3,0.2,0.2407,0.5775,0.2028,0.1747,0.3205,0.097,WAVERING,high_engagement,1
180.88,4,4,2.41,0,7,10,0.604,0.3618,0.4,0.4,0.3442,0.3227,0.4891,0.5174,0.2885,-0.1185,WAVERING,moderate_engagement,1
120.41,1,4,1.72,0,5,4,0.256,0.2408,0.1,0.4,0.2464,0.1319,0.0174,0.349,0.1975,-0.0776,WAVERING,moderate_engagement,1
108.57,5,6,1.31,3,4,4,0.419,0.2171,0.5,0.6,0.1871,0.2961,0.5473,0.4889,0.0946,-0.1893,WAVERING,low_engagement,1
340.19,6,2,0.54,4,12,5,0.32,0.6804,0.6,0.2,0.0768,0.5956,0.6534,0.2945,0.0007,0.0891,WAVERING,moderate_engagement,1
377.27,3,4,1.07,0,14,4,0.273,0.7545,0.3,0.4,0.1528,0.7585,0.319,0.2645,0.1319,0.116,ENGAGED,high_engagement,0
155.19,2,8,1.16,2,5,3,0.08,0.3104,0.2,0.8,0.1664,0.2596,0.1831,0.8017,0.112,-0.1258,WAVERING,low_engagement,1
328.84,5,2,9.19,1,14,4,0.072,0.6577,0.5,0.2,1.0,0.7018,0.5702,0.1624,1.0,-0.1769,WAVERING,moderate_engagement,1
347.69,0,2,0.77,0,14,7,0.781,0.6954,0.0,0.2,0.1096,0.7868,0.0,0.3639,0.1085,0.2053,ENGAGED,high_engagement,0
364.31,6,5,5.38,0,14,3,0.298,0.7286,0.6,0.5,0.7691,0.882,0.4083,0.4178,0.7243,-0.1593,WAVERING,moderate_engagement,1
468.5,1,3,0.11,0,20,3,0.941,0.937,0.1,0.3,0.0154,1.0,0.0906,0.2052,0.0453,0.2902,ENGAGED,high_engagement,0
218.6,0,7,6.3,1,8,7,0.503,0.4372,0.0,0.7,0.9004,0.4071,0.0,0.6326,0.826,-0.2352,SILENT_RECESS,moderate_engagement,2
374.51,1,5,1.05,1,13,4,0.769,0.749,0.1,0.5,0.1494,0.8096,0.1652,0.5276,0.0907,0.1348,ENGAGED,high_engagement,0
370.29,1,0,0.11,10,15,9,0.648,0.7406,0.1,0.0,0.016,0.6979,0.1073,0.0267,0.0747,0.2714,ENGAGED,high_engagement,0
347.14,1,2,0.52,1,13,5,0.952,0.6943,0.1,0.2,0.0747,0.8019,0.0,0.2182,0.0,0.1953,ENGAGED,high_engagement,0
480.18,1,5,0.6,3,19,5,0.642,0.9604,0.1,0.5,0.0859,0.8902,0.115,0.4774,0.0602,0.2384,ENGAGED,high_engagement,0
160.37,4,1,3.97,2,5,2,0.139,0.3207,0.4,0.1,0.5678,0.3064,0.4998,0.0,0.4941,-0.142,WAVERING,moderate_engagement,1
321.57,2,1,0.6,1,13,3,0.821,0.6431,0.2,0.1,0.0859,0.6509,0.1525,0.0543,0.1776,0.1715,ENGAGED,moderate_engagement,0
249.3,10,5,4.31,3,9,2,0.22,0.4986,1.0,0.5,0.6152,0.5412,0.9866,0.5707,0.7558,-0.2851,SILENT_RECESS,low_engagement,2
332.83,1,4,4.22,2,14,5,0.187,0.6657,0.1,0.4,0.6031,0.678,0.1346,0.4193,0.6359,-0.0147,WAVERING,moderate_engagement,1
194.49,3,4,2.91,0,8,6,0.094,0.389,0.3,0.4,0.4155,0.3711,0.3407,0.4211,0.4779,-0.1091,WAVERING,moderate_engagement,1
32.59,7,10,1.32,0,2,2,0.525,0.0652,0.7,1.0,0.1885,0.1893,0.7139,1.0,0.2059,-0.3705,SILENT_RECESS,low_engagement,2
315.84,1,2,2.41,2,9,8,0.605,0.6317,0.1,0.2,0.3447,0.5478,0.0963,0.2321,0.2998,0.0893,WAVERING,high_engagement,1
227.93,2,6,8.68,3,9,5,0.25,0.4559,0.2,0.6,1.0,0.5244,0.1576,0.6453,1.0,-0.2777,SILENT_RECESS,moderate_engagement,2
143.73,1,4,2.56,2,7,6,0.4,0.2875,0.1,0.4,0.3656,0.4685,0.0,0.3444,0.3574,-0.0947,WAVERING,moderate_engagement,1
254.16,2,1,0.52,0,10,1,0.254,0.5083,0.2,0.1,0.0737,0.5598,0.1613,0.1492,0.1503,0.1212,ENGAGED,moderate_engagement,0
322.2,6,2,5.85,0,12,6,0.292,0.6444,0.6,0.2,0.835,0.73,0.5184,0.2612,0.8896,-0.1527,WAVERING,moderate_engagement,1
316.84,2,6,0.09,1,9,5,0.448,0.6337,0.2,0.6,0.0126,0.6651,0.1009,0.6045,0.0939,0.0897,WAVERING,moderate_engagement,1
80.89,6,5,10.49,1,1,1,0.322,0.1618,0.6,0.5,1.0,0.2168,0.6528,0.3578,1.0,-0.4553,SILENT_RECESS,low_engagement,2
97.1,5,5,9.1,0,4,1,0.072,0.1942,0.5,0.5,1.0,0.136,0.5806,0.5604,0.9445,-0.4223,SILENT_RECESS,low_engagement,2
106.24,5,4,6.36,0,4,2,0.132,0.2125,0.5,0.4,0.9083,0.2453,0.5747,0.3241,0.8091,-0.3675,SILENT_RECESS,low_engagement,2
77.04,0,2,1.76,0,2,11,0.481,0.1541,0.0,0.2,0.2511,0.1016,0.0956,0.3081,0.2251,-0.0537,WAVERING,moderate_engagement,1
469.84,1,2,0.43,0,19,2,0.902,0.9397,0.1,0.2,0.0621,0.9347,0.1422,0.3112,0.0452,0.2972,ENGAGED,high_engagement,0
370.22,0,2,1.16,2,13,8,0.628,0.7404,0.0,0.2,0.1656,0.8277,0.0204,0.1788,0.2497,0.2065,ENGAGED,high_engagement,0
80.24,7,7,3.58,0,2,1,0.172,0.1605,0.7,0.7,0.5111,0.0587,0.6672,0.6557,0.5688,-0.3692,SILENT_RECESS,low_engagement,2
386.64,0,3,2.48,6,16,8,0.839,0.7733,0.0,0.3,0.355,0.7617,0.0402,0.2063,0.4119,0.1428,ENGAGED,high_engagement,0
239.18,6,2,3.41,0,10,4,0.595,0.4784,0.6,0.2,0.4874,0.5519,0.6636,0.1829,0.4379,-0.1149,WAVERING,moderate_engagement,1
84.9,2,2,3.65,1,1,6,0.319,0.1698,0.2,0.2,0.5208,0.2174,0.2239,0.21,0.4355,-0.1683,WAVERING,moderate_engagement,1
167.22,8,2,2.7,0,8,3,0.42,0.3344,0.8,0.2,0.3863,0.3607,0.8073,0.138,0.4473,-0.1821,WAVERING,moderate_engagement,1
94.33,7,8,12.27,0,5,1,0.339,0.1887,0.7,0.8,1.0,0.1803,0.6505,0.7186,0.9708,-0.5245,SILENT_RECESS,low_engagement,2
14.88,6,9,0.26,4,1,3,0.005,0.0298,0.6,0.9,0.0377,0.0,0.6485,0.7347,0.0,-0.2994,SILENT_RECESS,low_engagement,2
402.18,1,0,0.6,7,17,11,0.892,0.8044,0.1,0.0,0.0858,0.8628,0.0446,0.0,0.0616,0.276,ENGAGED,high_engagement,0
439.62,1,1,6.51,1,19,1,0.689,0.8792,0.1,0.1,0.9304,0.9161,0.2456,0.177,1.0,0.0326,WAVERING,high_engagement,1
367.29,1,2,0.44,0,15,8,0.584,0.7346,0.1,0.2,0.063,0.717,0.1031,0.2162,0.1066,0.2149,ENGAGED,high_engagement,0
354.92,0,2,1.4,6,13,5,0.793,0.7098,0.0,0.2,0.1997,0.7689,0.0,0.2291,0.1697,0.184,ENGAGED,high_engagement,0
101.42,4,5,1.6,0,3,4,0.223,0.2028,0.4,0.5,0.2287,0.1904,0.4014,0.4097,0.1851,-0.1675,WAVERING,moderate_engagement,1
68.83,5,8,1.84,2,1,2,0.071,0.1377,0.5,0.8,0.2628,0.1143,0.5568,0.8728,0.2813,-0.2838,SILENT_RECESS,low_engagement,2
83.31,5,4,1.85,0,3,10,0.364,0.1666,0.5,0.4,0.2642,0.1592,0.5233,0.3665,0.3748,-0.1926,WAVERING,moderate_engagement,1
150.04,2,3,1.45,1,4,5,0.613,0.3001,0.2,0.3,0.2077,0.2735,0.2556,0.2013,0.1185,-0.0423,WAVERING,moderate_engagement,1
462.25,2,2,2.97,2,19,9,0.572,0.9245,0.2,0.2,0.4248,0.9121,0.1377,0.293,0.428,0.1624,ENGAGED,high_engagement,0
66.0,7,6,14.0,0,2,1,0.077,0.132,0.7,0.6,1.0,0.1061,0.7285,0.6404,0.9992,-0.5072,SILENT_RECESS,low_engagement,2
403.21,3,0,1.22,4,15,8,0.438,0.8064,0.3,0.0,0.1741,0.6666,0.3025,0.0,0.0879,0.2103,ENGAGED,moderate_engagement,0
328.83,7,2,4.05,2,12,4,0.399,0.6577,0.7,0.2,0.579,0.6084,0.6554,0.2569,0.5732,-0.0906,WAVERING,moderate_engagement,1
479.91,1,2,0.12,2,18,7,0.512,0.9598,0.1,0.2,0.0172,0.9532,0.0284,0.1897,0.0,0.3188,ENGAGED,high_engagement,0
367.69,2,0,0.91,1,15,6,0.81,0.7354,0.2,0.0,0.1296,0.604,0.295,0.1103,0.1709,0.2153,ENGAGED,high_engagement,0
288.32,1,4,0.58,1,11,5,0.831,0.5766,0.1,0.4,0.0834,0.5595,0.124,0.3886,0.1228,0.1056,ENGAGED,high_engagement,0
302.89,0,5,1.24,0,10,6,0.436,0.6058,0.0,0.5,0.1772,0.6464,0.0,0.4579,0.1113,0.0891,WAVERING,moderate_engagement,1
467.95,0,0,0.72,0,18,2,0.735,0.9359,0.0,0.0,0.1029,0.9199,0.0,0.0,0.1692,0.3435,ENGAGED,high_engagement,0
481.75,1,1,0.92,1,18,5,0.546,0.9635,0.1,0.1,0.1308,0.9675,0.0056,0.0065,0.0,0.3062,ENGAGED,high_engagement,0
237.09,4,9,7.69,0,11,3,0.079,0.4742,0.4,0.9,1.0,0.5736,0.4612,0.9289,1.0,-0.3703,SILENT_RECESS,low_engagement,2
88.07,5,4,14.0,0,2,1,0.006,0.1761,0.5,0.4,1.0,0.0814,0.4733,0.3121,0.9517,-0.4095,SILENT_RECESS,low_engagement,2
375.98,5,4,5.65,2,15,1,0.301,0.752,0.5,0.4,0.8075,0.728,0.4625,0.3475,0.8934,-0.1215,WAVERING,moderate_engagement,1
123.59,0,4,3.4,5,5,4,0.163,0.2472,0.0,0.4,0.4856,0.2418,0.0,0.4169,0.4736,-0.1268,WAVERING,moderate_engagement,1
442.0,2,2,1.61,2,17,6,0.266,0.884,0.2,0.2,0.2298,0.9195,0.0905,0.1302,0.4101,0.2047,ENGAGED,high_engagement,0
156.71,9,6,14.0,2,3,3,0.174,0.3134,0.9,0.6,1.0,0.3096,0.8523,0.4989,1.0,-0.4746,SILENT_RECESS,low_engagement,2
339.43,4,1,1.67,1,13,4,0.551,0.6789,0.4,0.1,0.2381,0.642,0.4321,0.0471,0.2829,0.1001,ENGAGED,moderate_engagement,0
469.36,2,0,0.39,4,18,5,0.808,0.9387,0.2,0.0,0.0563,0.8839,0.2706,0.0,0.1045,0.3186,ENGAGED,high_engagement,0
491.52,0,1,1.13,5,19,4,0.8,0.983,0.0,0.1,0.1618,1.0,0.0567,0.1371,0.1469,0.3247,ENGAGED,high_engagement,0
241.1,2,3,0.68,1,7,6,0.365,0.4822,0.2,0.3,0.0977,0.5698,0.2639,0.4863,0.0593,0.0636,WAVERING,moderate_engagement,1
356.75,4,8,4.32,0,13,2,0.148,0.7135,0.4,0.8,0.617,0.5924,0.4419,0.6612,0.6212,-0.1397,WAVERING,low_engagement,1
366.41,0,2,0.06,5,13,10,0.668,0.7328,0.0,0.2,0.0084,0.6585,0.0,0.1897,0.0,0.2506,ENGAGED,high_engagement,0
378.06,1,5,2.0,0,17,2,0.493,0.7561,0.1,0.5,0.286,0.5515,0.0,0.4066,0.2767,0.0967,WAVERING,high_engagement,1
225.06,1,5,3.97,1,9,8,0.465,0.4501,0.1,0.5,0.5672,0.278,0.1652,0.6184,0.5231,-0.1101,WAVERING,high_engagement,1
219.38,3,10,1.57,2,9,1,0.307,0.4388,0.3,1.0,0.2239,0.4489,0.406,1.0,0.1409,-0.1517,WAVERING,low_engagement,1
353.44,2,0,3.1,0,13,4,0.412,0.7069,0.2,0.0,0.4429,0.7582,0.1291,0.0654,0.2943,0.1099,ENGAGED,high_engagement,0
158.06,13,11,0.7,1,4,1,0.137,0.3161,1.0,1.0,0.0997,0.2826,0.9965,1.0,0.0112,-0.3035,SILENT_RECESS,low_engagement,2
118.39,3,6,6.23,0,6,2,0.074,0.2368,0.3,0.6,0.89,0.4193,0.2675,0.6796,0.8546,-0.3523,SILENT_RECESS,low_engagement,2
83.62,2,12,0.84,0,3,1,0.007,0.1672,0.2,1.0,0.1203,0.098,0.2866,0.9964,0.0869,-0.2092,SILENT_RECESS,low_engagement,2
376.25,0,1,0.47,0,14,5,0.526,0.7525,0.0,0.1,0.0667,0.6746,0.0,0.1689,0.096,0.261,ENGAGED,high_engagement,0
478.68,0,2,1.64,3,19,4,0.604,0.9574,0.0,0.2,0.2341,0.8223,0.0704,0.0948,0.1301,0.2727,ENGAGED,high_engagement,0
310.9,1,3,1.01,0,13,7,0.523,0.6218,0.1,0.3,0.1443,0.6061,0.1024,0.3697,0.0059,0.1254,ENGAGED,high_engagement,0
440.4,1,1,0.49,5,16,4,0.531,0.8808,0.1,0.1,0.0699,0.8085,0.1687,0.2127,0.1146,0.2913,ENGAGED,high_engagement,0
413.14,2,2,9.98,2,17,5,0.115,0.8263,0.2,0.2,1.0,0.7443,0.235,0.1261,1.0,-0.0495,WAVERING,moderate_engagement,1
14.47,6,5,7.92,0,1,2,0.078,0.0289,0.6,0.5,1.0,0.176,0.6068,0.5007,1.0,-0.5084,SILENT_RECESS,low_engagement,2
139.67,6,5,12.04,0,6,5,0.316,0.2793,0.6,0.5,1.0,0.3283,0.734,0.3732,1.0,-0.4083,SILENT_RECESS,moderate_engagement,2
345.56,2,3,0.39,8,14,6,0.74,0.6911,0.2,0.3,0.0554,0.7453,0.3548,0.3554,0.0429,0.1598,ENGAGED,high_engagement,0
57.97,7,9,5.54,0,4,4,0.004,0.1159,0.7,0.9,0.7919,0.1014,0.7846,0.8751,0.7589,-0.5112,SILENT_RECESS,low_engagement,2
380.54,1,0,1.1,0,14,4,0.672,0.7611,0.1,0.0,0.1571,0.7848,0.0664,0.1137,0.2012,0.2373,ENGAGED,high_engagement,0
183.61,1,5,1.48,0,6,5,0.168,0.3672,0.1,0.5,0.2114,0.4232,0.0728,0.6114,0.2692,-0.0365,WAVERING,moderate_engagement,1
258.31,6,4,0.29,1,9,2,0.47,0.5166,0.6,0.4,0.0414,0.4372,0.6846,0.5406,0.1021,-0.0058,WAVERING,moderate_engagement,1
321.5,3,4,3.19,4,12,3,0.252,0.643,0.3,0.4,0.4551,0.5744,0.2849,0.4584,0.5206,-0.0193,WAVERING,moderate_engagement,1
188.42,0,3,0.36,2,6,4,0.638,0.3768,0.0,0.3,0.0519,0.3022,0.0847,0.2715,0.0062,0.0752,WAVERING,high_engagement,1
42.26,5,6,7.09,2,2,4,0.117,0.0845,0.5,0.6,1.0,0.0838,0.5373,0.5683,1.0,-0.4862,SILENT_RECESS,low_engagement,2
259.51,5,7,4.82,0,10,1,0.12,0.519,0.5,0.7,0.6883,0.7065,0.4087,0.7382,0.7651,-0.2389,SILENT_RECESS,low_engagement,2
426.05,1,1,0.52,0,16,6,0.843,0.8521,0.1,0.1,0.0738,0.815,0.155,0.2098,0.0906,0.2787,ENGAGED,high_engagement,0
226.25,3,5,1.5,1,7,5,0.197,0.4525,0.3,0.5,0.2137,0.3478,0.1453,0.6399,0.2887,-0.0431,WAVERING,moderate_engagement,1
313.49,1,4,1.15,1,12,6,0.229,0.627,0.1,0.4,0.1638,0.6938,0.0775,0.2083,0.1731,0.1016,ENGAGED,moderate_engagement,0
318.66,14,6,3.44,1,13,1,0.166,0.6373,1.0,0.6,0.4918,0.7608,0.9518,0.6495,0.49,-0.2126,SILENT_RECESS,low_engagement,2
142.64,4,4,8.99,0,7,6,0.434,0.2853,0.4,0.4,1.0,0.2465,0.3712,0.4731,0.9624,-0.3459,SILENT_RECESS,moderate_engagement,2
426.65,1,2,2.77,0,17,8,0.38,0.8533,0.1,0.2,0.3963,0.8649,0.1824,0.1744,0.3552,0.1624,ENGAGED,high_engagement,0
